Date,Car,Listing Title,Asking Price,Market Baseline,vs Market,Year,Mileage,Country,Seller,Source,URL
2026-05-29,Porsche 911 GT2 RS,Kaaimans International,"€20,189,112,380,020,008","€445,000",4536879186421.3% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2060646
2026-05-29,Porsche 911 GT2 RS,The Octane Collection,"€99,122,380,023,307,534,336","€445,000",2.227469214006901e+16% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2075889
2026-05-29,Porsche 911 GT2 RS,Bavaria Motors,"€20,199,112,991,380,028,461,678,592","€445,000",4.5391265149168606e+21% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C1978641
2026-05-29,Ferrari Daytona SP3,Marseille,"€19,704,400,950,005,551,104","€4,500,000",437875576666690.0% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/la/C2038051
2026-05-29,Ferrari Monza SP1,No listings found today,,,,,,,,,
2026-05-29,Ferrari Monza SP2,No listings found today,,,,,,,,,
2026-05-29,Ferrari F12 TDF,Italy,"€20,161,217,990,142,002,724,864","€1,400,000",1.4400869992958574e+18% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2053138
2026-05-29,Ferrari 812 Competizione,Redline Specialist Cars,"€20,238,127","€1,420,000",1325.2% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C1962034
2026-05-29,Ferrari 812 Competizione,DK Engineering,"€2,022,812,650,017,507","€1,420,000",142451594971.7% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2063999
2026-05-29,Ferrari 812 Competizione,Italy,"€2,024,812,012,501,574,912","€1,420,000",142592395246489.8% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2076498
2026-05-29,Ferrari 488 Pista,Gibraltar,"€488,140,126","€460,000",106017.4% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C1570708
2026-05-29,Ferrari 488 Pista,Gibraltar,"€48,839,022,507","€460,000",10617078.8% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C1581852
2026-05-29,Ferrari 488 Pista,Japan,"€201,948,839,022,550","€460,000",43901921426.6% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2064512
2026-05-29,Ferrari 488 Pista,Italy,"€2,019,488,014,500,470,016","€460,000",439019133586958.7% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2070434
2026-05-29,Ferrari 488 Pista,Elms Collection,"€4,883,900,102,007,395,328","€460,000",1061717413479768.5% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2052805
2026-05-29,Ferrari 488 Pista,Bell Sport & Classic,"€12,020,488,483,977,674,752","€460,000",2613149670429829.5% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2075668
2026-05-29,Ferrari 488 Pista,Italy,"€2,020,488,390,214,001,098,752","€460,000",4.39236606568261e+17% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2029952
2026-05-29,Ferrari 488 Pista,Amari Supercars,"€2,020,488,390,235,007,746,048","€460,000",4.3923660657282765e+17% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2060561
2026-05-29,Ferrari 488 Pista,Italy,"€2,020,488,390,248,007,729,152","€460,000",4.3923660657565376e+17% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2070402
2026-05-29,Ferrari 488 Pista,VVS UK,"€20,194,888,390,260,008,419,328","€460,000",4.390193128317393e+18% ABOVE,N/A,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2070233
